B,u,h,uh
-0.000108434494449987,-0.0269988024417375,0.324368770764118,-0.0430578739278127
-0.000110359088689844,-0.0275096547915688,0.327292358803985,-0.0435104859868398
-0.000111371466401926,-0.0272672474797982,0.331079734219268,-0.0439662878432702
-0.000112203717374239,-0.0272657131299754,0.336561461794018,-0.0444106132759787
-0.000113431435335928,-0.027811328868525,0.339119601328902,-0.0447808608385568
-0.000115014223637067,-0.0280228878547821,0.342774086378736,-0.0452399719721985
-0.000117277162197902,-0.0283096671127643,0.347890365448503,-0.0451047672043903
-0.000118628435161319,-0.0282711272588351,0.353372093023254,-0.0455026473487516
-0.000120014773234319,-0.0288769207250624,0.358853820598005,-0.0456240909863391
-0.000119873619094602,-0.0292051953930534,0.364335548172755,-0.0459122644580155
-0.000119876243328936,-0.0289832621318502,0.369817275747506,-0.0456053337824923
-0.000121681038593498,-0.0293567200217442,0.375299003322257,-0.0458930702618949
-0.000122245916579962,-0.0298037467916304,0.380780730897007,-0.0461339316761902
-0.000122862546163149,-0.0306066383219529,0.386262458471758,-0.0466051796970285
-0.000123936117295636,-0.0310497050863099,0.391744186046509,-0.0462469394154335
-0.000125780025007026,-0.030516231672751,0.397225913621259,-0.0459065030247594
-0.000128057603122634,-0.0304248371374389,0.40270764119601,-0.0459888571791073
-0.000130172663469784,-0.0309551222084165,0.40599667774086,-0.0461889391737504
-0.000132480386343922,-0.0313567123151756,0.40599667774086,-0.0458759477223981
-0.000134785079523393,-0.0314246392850534,0.40599667774086,-0.0459178372244898
-0.000135540274745505,-0.0320732459263866,0.411478405315611,-0.0461263943106354
-0.000136919678101258,-0.0321748317596819,0.414401993355478,-0.0466938461559318
-0.000138287125944445,-0.0326827836691653,0.419518272425245,-0.0470435150929501
-0.000139557091227787,-0.0324103018500063,0.419883720930229,-0.0474749979083654
-0.000142351368633016,-0.032577973527732,0.422441860465112,-0.047444154304139
-0.000145798300184132,-0.0333827057213659,0.427026578073086,-0.0479367597534061
-0.000146311853879031,-0.0332773497686953,0.427392026578069,-0.0479226656989167
-0.000143054088307479,-0.0331570706452515,0.427392026578069,-0.0481865912373898
-0.000143756706104499,-0.0330796131052437,0.427392026578069,-0.0482929639197378
-0.00014658286861794,-0.0328064067318773,0.427392026578069,-0.0484299888135747
-0.000148391471954569,-0.0326207912652335,0.427392026578069,-0.0485356508453848
-0.000148757206551787,-0.0325817957200537,0.427392026578069,-0.0489137686126006
-0.000150981467100806,-0.0321094518712956,0.430415282392023,-0.048680526513586
-0.000152394685921324,-0.0318615186888353,0.43490033222591,-0.0492542634904154
